LOCATION:  P4
TEST TYPE:  All
DATES:   1/01/15 to 11/10/15
Date ,Skid ID ,Skid ID2 ,Line ,Product ,Lot Code ,Test Type ,Prim. Resin ,% ,Sec. Resin ,% ,Additive 1 ,% ,Additive 2 ,% ,Additive 3 ,% ,Array ,Dart Spec ,Dart Offline ,Dart Ratio ,Tear Spec ,MD Tear Offline ,MD Tear Ratio ,TD Tear Offline ,TD Tear Ratio ,Opacity ,Gauge Spec ,Min ,Avg. ,Range ,Low ,Gauge CoV ,Gauge Retest ,QA Tag Number1 ,QA Tag Number2 ,Comment ,Dart 1 Day ,Dart 2 Weeks ,Dart 3 Months ,Tear 1 Day ,Tear 2 Weeks ,Tear 3 Months
2015/01/09 , 0019640101 , 0019640100 , 436  , DSRS913W-1      , 009151     ,   , 2020G           ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0430 ,  1.168 , 00300 , 00542 ,  1.806 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .860 ,    .400 ,    .690 ,      ,         ,         ,         , ID 19640101-00            ,      ,      ,      ,       ,       ,
2015/01/10 , 0019640094 , 0019640095 , 436  , DSRS913W-1      , 010151     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0442 ,  1.201 , 00300 , 00504 ,  1.680 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .860 ,    .400 ,    .660 ,      ,         ,         ,         , 19640094-95               ,      ,      ,      ,       ,       ,
2015/01/10 , 0019640093 , 0019640092 , 436  , DSRS913W-1      , 010151     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0454 ,  1.233 , 00300 , 00490 ,  1.633 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .360 ,    .650 ,      ,         ,         ,         , 19640093-92               ,      ,      ,      ,       ,       ,
2015/01/10 , 0019640091 , 0019640090 , 436  , DSRS913W-1      , 010153     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0502 ,  1.364 , 00300 , 00479 ,  1.596 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .360 ,    .690 ,      ,         ,         ,         , 19640091-90               ,      ,      ,      ,       ,       ,
2015/01/11 , 0019640080 , 0019640081 , 436  , DSRS913W-1      , 011154     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0526 ,  1.429 , 00300 , 00494 ,  1.646 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .860 ,    .380 ,    .660 ,      ,         ,         ,         , 19640080-81               ,      ,      ,      ,       ,       ,
2015/01/11 , 0019640084 , 0019640085 , 436  , DSRS913W-1      , 011152     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0472 ,  1.282 , 00300 , 00513 ,  1.710 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .880 ,    .420 ,    .700 ,      ,         ,         ,         , ID 19640084-85            ,      ,      ,      ,       ,       ,
2015/01/11 , 0019640082 , 0019640083 , 436  , DSRS913W-1      , 011152     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0484 ,  1.315 , 00300 , 00582 ,  1.940 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .850 ,    .450 ,    .630 ,      ,         ,         ,         , ID 19640082-83            ,      ,      ,      ,       ,       ,
2015/01/12 , 0019673049 , 0019673048 , 436  , DSRS913W-1      , 012154     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0436 ,  1.184 , 00300 , 00507 ,  1.690 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .340 ,    .680 ,      ,         ,         ,         , 19673049-48               ,      ,      ,      ,       ,       ,
2015/01/12 , 0019640076 , 0019640075 , 436  , DSRS913W-1      , 012152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0514 ,  1.396 , 00300 , 00370 ,  1.233 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .320 ,    .680 ,      ,         ,         ,         , S19640076-75              ,      ,      ,      ,       ,       ,
2015/01/12 , 0019640074 , 0019640073 , 436  , DSRS913W-1      , 012152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0424 ,  1.152 , 00300 , 00406 ,  1.353 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .870 ,    .460 ,    .630 ,      ,         ,         ,         , S19640074-73              ,      ,      ,      ,       ,       ,
